#separator:semicolon
#html:true
#notetype column: 1
#columns:notetype;Front;Back;pinyin;gloss
Chinese;你们;;ni3men;you (plural)
Chinese;我们;;wo3men;we/us/ourselves/our
Chinese;她们;;ta1men;they/them (for females)
Chinese;其他;;qi2ta1;other/(sth or sb) else/the rest
Chinese;春天;;chun1tian1;spring (season)
Chinese;秋天;;qiu1tian1;autumn
Chinese;冬天;;dong1tian1;winter
Chinese;太阳;;tai4yang;sun
Chinese;月亮;;yue4liang;the moon
Chinese;星星;;xing1xing;(coll.) a star; the stars in the sky
Chinese;早上;;zao3shang;early morning
Chinese;中午;;zhong1wu3;noon/midday
Chinese;下午;;xia4wu3;afternoon
Chinese;晚上;;wan3shang;evening/night/in the evening
